Data:
load('F:\oytun_Calisma\data\Traindatatwoclass_features_02_12_2021_newspectrogramsparfor');

13 x 4225 lik bir data var.

170 data 

56 fast - 114 slow

trainRatio=0.8;
valRatio=0.1;
testRatio=0.1;

|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      38 |         150 |       00:00:49 |      100.00% |       76.47% |       0.0224 |       0.4377 |          0.0100 |
|      38 |         151 |       00:00:49 |      100.00% |       82.35% |       0.0279 |       0.4535 |          0.0100 |
|      38 |         152 |       00:00:49 |       96.88% |       82.35% |       0.0529 |       0.4748 |          0.0100 |
|      39 |         153 |       00:00:49 |      100.00% |       76.47% |       0.0082 |       0.4999 |          0.0100 |
|      39 |         154 |       00:00:50 |      100.00% |       76.47% |       0.0166 |       0.5251 |          0.0100 |
|      39 |         155 |       00:00:50 |      100.00% |       76.47% |       0.0216 |       0.5713 |          0.0100 |
|      39 |         156 |       00:00:50 |       96.88% |       76.47% |       0.0702 |       0.5374 |          0.0100 |
|      40 |         157 |       00:00:51 |      100.00% |       76.47% |       0.0057 |       0.5312 |          0.0100 |
|      40 |         158 |       00:00:51 |      100.00% |       76.47% |       0.0131 |       0.5313 |          0.0100 |
|      40 |         159 |       00:00:51 |       96.88% |       76.47% |       0.0773 |       0.5288 |          0.0100 |
|      40 |         160 |       00:00:52 |      100.00% |       76.47% |       0.0230 |       0.5154 |          0.0100 |
|      41 |         161 |       00:00:52 |      100.00% |       76.47% |       0.0045 |       0.5212 |          0.0100 |
|      41 |         162 |       00:00:52 |       96.88% |       76.47% |       0.0343 |       0.5324 |          0.0100 |
|      41 |         163 |       00:00:52 |      100.00% |       76.47% |       0.0305 |       0.4916 |          0.0100 |
|      41 |         164 |       00:00:53 |      100.00% |       76.47% |       0.0206 |       0.4227 |          0.0100 |
|      42 |         165 |       00:00:53 |      100.00% |       82.35% |       0.0042 |       0.3300 |          0.0100 |
